,age,gender,device,date,sum,count
161,35-44,F,iOS,2014-03-13,26.0,1
162,35-44,F,iOS,2014-03-14,0.0,3
163,35-44,F,iOS,2014-03-15,0.0,2
164,35-44,F,iOS,2014-03-16,94.0,2
165,35-44,F,iOS,2014-03-17,51.0,3
166,35-44,F,iOS,2014-03-18,0.0,1
167,35-44,F,iOS,2014-03-19,0.0,1
168,35-44,F,iOS,2014-03-20,32.0,2
169,35-44,F,iOS,2014-03-21,0.0,1
170,35-44,F,iOS,2014-03-22,0.0,3
171,35-44,F,iOS,2014-03-23,0.0,1
172,35-44,F,iOS,2014-03-24,0.0,1
173,35-44,F,iOS,2014-03-25,64.0,3
174,35-44,F,iOS,2014-03-26,46.0,2
175,35-44,F,iOS,2014-03-27,100.0,3
176,35-44,F,iOS,2014-03-28,39.0,1
177,35-44,F,iOS,2014-03-29,52.0,3
178,35-44,F,iOS,2014-03-30,0.0,1
179,45-54,F,android,2014-03-01,133.0,16
180,45-54,F,android,2014-03-02,73.0,12
181,45-54,F,android,2014-03-03,140.0,6
182,45-54,F,android,2014-03-04,81.0,8
183,45-54,F,android,2014-03-05,35.0,8
184,45-54,F,android,2014-03-06,95.0,7
185,45-54,F,android,2014-03-07,90.0,6
186,45-54,F,android,2014-03-08,38.0,4
187,45-54,F,android,2014-03-09,112.0,5
188,45-54,F,android,2014-03-10,81.0,4
189,45-54,F,android,2014-03-11,24.0,3
190,45-54,F,android,2014-03-12,115.0,9
191,45-54,F,android,2014-03-13,94.0,6
192,45-54,F,android,2014-03-14,52.0,6
193,45-54,F,android,2014-03-15,192.0,11
194,45-54,F,android,2014-03-16,40.0,5
195,45-54,F,android,2014-03-17,69.0,3
196,45-54,F,android,2014-03-18,96.0,4
197,45-54,F,android,2014-03-19,40.0,1
198,45-54,F,android,2014-03-20,99.0,5
199,45-54,F,android,2014-03-21,60.0,4
200,45-54,F,android,2014-03-22,70.0,3
201,45-54,F,android,2014-03-23,67.0,5
202,45-54,F,android,2014-03-24,155.0,9
203,45-54,F,android,2014-03-25,101.0,4
204,45-54,F,android,2014-03-26,161.0,5
205,45-54,F,android,2014-03-27,60.0,5
206,45-54,F,android,2014-03-28,0.0,4
207,45-54,F,android,2014-03-29,58.0,3
208,45-54,F,android,2014-03-30,41.0,3
209,45-54,F,android,2014-03-31,106.0,3
210,45-54,F,iOS,2014-03-01,34.0,7
211,45-54,F,iOS,2014-03-02,26.0,3
212,45-54,F,iOS,2014-03-03,44.0,10
213,45-54,F,iOS,2014-03-04,33.0,7
214,45-54,F,iOS,2014-03-05,0.0,4
215,45-54,F,iOS,2014-03-06,0.0,3
216,45-54,F,iOS,2014-03-07,0.0,6
217,45-54,F,iOS,2014-03-08,0.0,3
218,45-54,F,iOS,2014-03-09,144.0,7
219,45-54,F,iOS,2014-03-10,64.0,7
220,45-54,F,iOS,2014-03-11,0.0,4
221,45-54,F,iOS,2014-03-12,13.0,3
222,45-54,F,iOS,2014-03-13,152.0,3
223,45-54,F,iOS,2014-03-14,34.0,3
224,45-54,F,iOS,2014-03-15,82.0,3
225,45-54,F,iOS,2014-03-16,79.0,7
